generation,timestamp,duration_seconds,fitness_best,fitness_avg,fitness_worst,fitness_std,best_distance_ever,current_max_time,population_size,mutation_rate,mutation_strength,elite_size
0,2026-08-03 09:05:19,1.395811,413.9436148071289,-31.097877111584918,-224.79863166809082,93.52671871831144,413.9436148071289,500,128,0.1,0.2,4
1,2026-08-03 09:05:20,0.465603,401.8779955132063,7.620588050702497,-249.82905387878418,95.5307520574345,413.9436148071289,624,128,0.1,0.2,4
2,2026-08-03 09:05:20,0.477342,527.1744345395992,7.467975783351292,-242.0536994934082,111.41936849671207,527.1744345395992,624,128,0.1,0.2,4
3,2026-08-03 09:05:21,0.530219,543.8287109444569,8.139808090582846,-219.5645809173584,100.90466362309816,543.8287109444569,658,128,0.1,0.2,4
4,2026-08-03 09:05:21,0.578543,546.2755467629181,15.90516882669785,-191.53985977172852,112.5400111510498,546.2755467629181,663,128,0.1,0.2,4
5,2026-08-03 09:05:22,0.528698,546.2755467629181,8.532835222413809,-284.1066360473633,124.59095377666495,546.2755467629181,663,128,0.1,0.2,4
6,2026-08-03 09:05:22,0.525331,546.2755467629181,24.862435208160953,-170.49145698547363,115.39223148616054,546.2755467629181,663,128,0.1,0.2,4
7,2026-08-03 09:05:23,0.519798,546.2755467629181,19.94569809738828,-233.28089714050293,127.57614397210534,546.2755467629181,663,128,0.1,0.2,4
8,2026-08-03 09:05:23,0.558957,546.2755467629181,10.86386970523817,-231.00261688232422,136.20907314475366,546.2755467629181,663,128,0.1,0.2,4
9,2026-08-03 09:05:24,0.531667,546.2755467629181,26.61087658955295,-229.0076732635498,126.00813157185891,546.2755467629181,663,128,0.1,0.2,4
10,2026-08-03 09:05:24,0.507756,546.2755467629181,26.220437454427834,-205.12971878051758,124.79047024969401,546.2755467629181,663,128,0.1,0.2,4
11,2026-08-03 09:05:25,0.508098,546.2755467629181,17.49326524687518,-204.7231674194336,124.44510065236514,546.2755467629181,663,128,0.1,0.2,4
12,2026-08-03 09:05:25,0.495299,546.2755467629181,3.01536177031368,-239.09430503845215,128.8226180242895,546.2755467629181,663,128,0.1,0.2,4
13,2026-08-03 09:05:26,0.575263,546.2755467629181,17.857197665948693,-266.36362075805664,123.5959043411935,546.2755467629181,663,128,0.1,0.2,4
14,2026-08-03 09:05:26,0.556076,763.1754552401029,31.829972514247853,-246.48804664611816,134.96600876508677,763.1754552401029,663,128,0.1,0.2,4
15,2026-08-03 09:05:27,0.489403,799.2367503407238,11.098482184367397,-252.2298812866211,155.47197674610965,799.2367503407238,728,128,0.1,0.2,4
16,2026-08-03 09:05:27,0.536291,795.2423405421441,24.9143245156912,-257.79099464416504,151.0591792432845,799.2367503407238,739,128,0.1,0.2,4
17,2026-08-03 09:05:28,0.557169,795.2423405421441,36.46151033575731,-199.36089515686035,165.4389156333735,799.2367503407238,739,128,0.1,0.2,4
18,2026-08-03 09:05:29,0.605978,795.2423405421441,48.380216538553995,-230.40661811828613,164.09939585320424,799.2367503407238,739,128,0.1,0.2,4
19,2026-08-03 09:05:29,0.572487,795.2423405421441,60.29092508235688,-258.307409286499,166.5731464121523,799.2367503407238,739,128,0.1,0.2,4
20,2026-08-03 09:05:30,0.589577,795.2423405421441,54.1245049523349,-210.24775505065918,202.59893579939512,799.2367503407238,739,128,0.1,0.2,4
21,2026-08-03 09:05:30,0.585861,795.2423405421441,52.37821878774272,-256.695032119751,196.19187500314297,799.2367503407238,739,128,0.1,0.2,4
22,2026-08-03 09:05:31,0.627866,795.2423405421441,61.96453313755395,-235.94632148742676,192.86610557368,799.2367503407238,739,128,0.1,0.2,4
