generation,timestamp,duration_seconds,fitness_best,fitness_avg,fitness_worst,fitness_std,best_distance_ever,current_max_time,population_size,mutation_rate,mutation_strength,elite_size
20,2026-08-05 12:10:54,10.799765,1942.7925500637148,831.7255040762155,-205.2487850189209,603.2270671756025,1942.7925500637148,1066,128,0.1,0.2,4
21,2026-08-05 12:11:04,9.667988,2050.229497898969,821.6186502298546,-85.92061996459961,610.2980309785621,2050.229497898969,1082,128,0.1,0.2,4
22,2026-08-05 12:11:14,9.680295,2089.1382618378098,791.3921985670793,-174.369478225708,679.4452997786452,2089.1382618378098,1115,128,0.1,0.2,4
23,2026-08-05 12:11:24,10.423476,2134.621783132875,972.202709653326,-114.2446517944336,711.8287293841366,2134.621783132875,1126,128,0.1,0.2,4
24,2026-08-05 12:11:34,9.74121,2390.6941994114927,901.4010908533887,-218.76544952392578,733.4384785292079,2390.6941994114927,1140,128,0.1,0.2,4
25,2026-08-05 12:11:45,11.080788,2704.231719970703,974.8554641831712,-216.47791862487793,782.4461791747923,2704.231719970703,1217,128,0.1,0.2,4
26,2026-08-05 12:11:54,9.264969,2952.247280176135,903.295771239856,-81.49886131286621,865.8686622616666,2952.247280176135,1311,128,0.1,0.2,4
27,2026-08-05 12:12:05,10.819348,3106.099091457546,982.7792534795955,-247.1360206604004,858.289950411151,3106.099091457546,1385,128,0.1,0.2,4
28,2026-08-05 12:12:16,10.914662,3084.6104331986207,1147.933345877961,-214.10446166992188,950.7200522933647,3106.099091457546,1431,128,0.1,0.2,4
29,2026-08-05 12:12:28,12.219455,3550.474216879705,1215.6634254388016,-190.64898490905762,953.5853254552338,3550.474216879705,1431,128,0.1,0.2,4
30,2026-08-05 12:12:38,10.139215,3731.1613931381667,1088.851750778462,-222.47629165649414,1006.0336305993046,3731.1613931381667,1565,128,0.1,0.2,4
31,2026-08-05 12:12:49,10.359627,3835.086099625812,1225.1819568326964,-144.8277473449707,1171.4499969894948,3835.086099625812,1619,128,0.1,0.2,4
32,2026-08-05 12:12:59,10.044196,3893.708295602509,1356.0393354796443,-159.59830284118652,1194.4633508539741,3893.708295602509,1650,128,0.1,0.2,4
33,2026-08-05 12:13:08,9.388594,3954.7727194221184,1294.8572610326976,-105.75628280639648,1153.6813629635294,3954.7727194221184,1668,128,0.1,0.2,4
34,2026-08-05 12:13:18,10.241651,3970.5823042610505,1378.1593728272985,-179.81934547424316,1198.395674849907,3970.5823042610505,1686,128,0.1,0.2,4
35,2026-08-05 12:13:28,10.22847,3977.0292321131255,1384.9413224034233,-141.73579216003418,1205.618303894157,3977.0292321131255,1691,128,0.1,0.2,4
36,2026-08-05 12:13:39,10.794613,3975.3078382732033,1416.0029260224542,-82.47537612915039,1206.4277050911808,3977.0292321131255,1693,128,0.1,0.2,4
37,2026-08-05 12:13:48,8.73003,3975.3078382732033,1114.4150795700002,-179.7600269317627,1192.6620665389175,3977.0292321131255,1693,128,0.1,0.2,4
38,2026-08-05 12:13:58,9.705624,3975.3078382732033,1336.0053477337824,-118.77613067626953,1234.1945273370702,3977.0292321131255,1693,128,0.1,0.2,4
39,2026-08-05 12:14:09,10.943194,3975.3078382732033,1351.9356581476402,-209.14404392242432,1236.8153396941643,3977.0292321131255,1693,128,0.1,0.2,4
40,2026-08-05 12:14:19,10.597262,3975.3078382732033,1333.9495036733585,-249.95455741882324,1202.3785153753581,3977.0292321131255,1693,128,0.1,0.2,4
41,2026-08-05 12:14:32,12.238806,4143.585816150717,1702.7786778134903,-164.6756649017334,1315.2334289468113,4143.585816150717,1693,128,0.1,0.2,4
42,2026-08-05 12:14:43,11.660585,4345.668406921492,1544.1273150966208,-87.57633410002056,1272.921348896296,4345.668406921492,1743,128,0.1,0.2,4
43,2026-08-05 12:14:54,10.450839,4555.185351760534,1338.2620726757875,-213.81354331970215,1305.6386648659784,4555.185351760534,1803,128,0.1,0.2,4
44,2026-08-05 12:15:05,11.614276,4802.434839819022,1586.9379849885227,-193.1746482849121,1479.3966080646085,4802.434839819022,1866,128,0.1,0.2,4
45,2026-08-05 12:15:16,10.772119,5015.773266979099,1622.2793940649913,-128.08818817138672,1520.8913110042656,5015.773266979099,1940,128,0.1,0.2,4
46,2026-08-05 12:15:27,11.29011,5179.6917152404785,1759.6813043390605,-130.05361557006836,1582.3215859919362,5179.6917152404785,2000,128,0.1,0.2,4
47,2026-08-05 12:15:39,12.15472,5179.6917152404785,1958.0177556742376,-205.27472496032715,1565.9983754037441,5179.6917152404785,2000,128,0.1,0.2,4
48,2026-08-05 12:15:51,11.635252,5179.6917152404785,1977.684235880665,-139.84646797180176,1582.570502437009,5179.6917152404785,2000,128,0.1,0.2,4
49,2026-08-05 12:16:02,10.594123,5179.6917152404785,1851.1457162735628,-126.50270462036133,1636.7195526500666,5179.6917152404785,2000,128,0.1,0.2,4
50,2026-08-05 12:16:13,11.649699,5179.6917152404785,2161.919241827288,-91.30315780639648,1646.7565421296872,5179.6917152404785,2000,128,0.1,0.2,4
51,2026-08-05 12:16:26,12.755034,5179.6917152404785,2333.9785258547204,-128.0439853668213,1697.2802033592777,5179.6917152404785,2000,128,0.1,0.2,4
52,2026-08-05 12:16:39,12.869382,5179.6917152404785,2279.474860849508,-182.635498046875,1637.7418880651094,5179.6917152404785,2000,128,0.1,0.2,4
53,2026-08-05 12:16:53,14.468454,5179.6917152404785,2310.343193032471,-150.70199966430664,1573.0524270722535,5179.6917152404785,2000,128,0.1,0.2,4
54,2026-08-05 12:17:07,13.599575,5179.6917152404785,2409.376723616906,-98.68093961401831,1732.833062254502,5179.6917152404785,2000,128,0.1,0.2,4
55,2026-08-05 12:17:21,13.439653,5179.6917152404785,2665.257339041274,-64.01791572570801,1682.4343137311953,5179.6917152404785,2000,128,0.1,0.2,4
