generation,timestamp,duration_seconds,fitness_best,fitness_avg,fitness_worst,fitness_std,best_distance_ever,current_max_time,population_size,mutation_rate,mutation_strength,elite_size
0,2026-07-31 11:15:19,0.696381,546.1679458618164,-18.965203315019608,-224.79863166809082,111.71524896926859,546.1679458618164,500,128,0.1,0.2,4
1,2026-07-31 11:15:19,0.135946,546.1679458618164,24.83893446624279,-243.66679191589355,115.72431189864767,546.1679458618164,663,128,0.1,0.2,4
2,2026-07-31 11:15:19,0.122953,637.9673004150391,37.08213120698929,-211.89565658569336,128.24971792310836,637.9673004150391,663,128,0.1,0.2,4
3,2026-07-31 11:15:19,0.149277,652.5186538696289,19.184406474232674,-276.62816047668457,126.05180548964293,652.5186538696289,691,128,0.1,0.2,4
4,2026-07-31 11:15:19,0.131833,650.9980201721191,35.381415858864784,-224.60951805114746,137.35292270002574,652.5186538696289,695,128,0.1,0.2,4
5,2026-07-31 11:15:20,0.130354,650.9980201721191,47.045571729540825,-193.41607093811035,143.23092776797372,652.5186538696289,695,128,0.1,0.2,4
6,2026-07-31 11:15:20,0.136952,650.9980201721191,55.12744449079037,-239.04156684875488,155.0942625090756,652.5186538696289,695,128,0.1,0.2,4
7,2026-07-31 11:15:20,0.11272,650.9980201721191,43.922316655516624,-200.81605911254883,157.67940847383326,652.5186538696289,695,128,0.1,0.2,4
8,2026-07-31 11:15:20,0.138454,650.9980201721191,53.4729789942503,-263.5042667388916,160.2573988826899,652.5186538696289,695,128,0.1,0.2,4
9,2026-07-31 11:15:20,0.136269,650.9980201721191,64.16500397026539,-200.2774715423584,153.8346352090352,652.5186538696289,695,128,0.1,0.2,4
10,2026-07-31 11:15:20,0.145443,650.9980201721191,81.78779259324074,-219.99163627624512,172.1297138725909,652.5186538696289,695,128,0.1,0.2,4
11,2026-07-31 11:15:20,0.139114,650.9980201721191,56.425730139017105,-208.95061492919922,174.3646404516504,652.5186538696289,695,128,0.1,0.2,4
12,2026-07-31 11:15:21,0.14145,650.9980201721191,59.72025915980339,-210.70218086242676,161.13652811177428,652.5186538696289,695,128,0.1,0.2,4
13,2026-07-31 11:15:21,0.149971,650.9980201721191,39.74803276360035,-247.46108055114746,166.83708604470283,652.5186538696289,695,128,0.1,0.2,4
14,2026-07-31 11:15:21,0.140939,650.9980201721191,55.92549443244934,-191.43638610839844,163.25944426996892,652.5186538696289,695,128,0.1,0.2,4
15,2026-07-31 11:15:21,0.14896,842.9399490356445,77.05684378743172,-198.75497817993164,178.17258131727527,842.9399490356445,695,128,0.1,0.2,4
16,2026-07-31 11:15:21,0.155227,842.9399490356445,80.62235824763775,-210.45947074890137,175.35378683239603,842.9399490356445,752,128,0.1,0.2,4
17,2026-07-31 11:15:21,0.144409,842.9399490356445,77.8737984597683,-211.36841773986816,192.63812573119938,842.9399490356445,752,128,0.1,0.2,4
18,2026-07-31 11:15:21,0.129481,842.9399490356445,81.83673582971096,-271.254825592041,183.84300194696436,842.9399490356445,752,128,0.1,0.2,4
19,2026-07-31 11:15:22,0.136861,842.9399490356445,110.6731429696083,-247.92327880859375,198.86241684966794,842.9399490356445,752,128,0.1,0.2,4
20,2026-07-31 11:15:22,0.122758,842.9399490356445,121.92193977534771,-242.90809631347656,194.82905773095675,842.9399490356445,752,128,0.1,0.2,4
21,2026-07-31 11:15:22,0.131244,1200.7802963256836,158.43634344637394,-203.5181999206543,228.26292802929171,1200.7802963256836,752,128,0.1,0.2,4
22,2026-07-31 11:15:22,0.122895,1200.7802963256836,128.6100335419178,-220.98898887634277,211.95146875373368,1200.7802963256836,860,128,0.1,0.2,4
23,2026-07-31 11:15:22,0.134387,1200.7802963256836,165.0217454880476,-200.80952644348145,221.88686726515002,1200.7802963256836,860,128,0.1,0.2,4
24,2026-07-31 11:15:22,0.135082,1200.7802963256836,151.9327450543642,-130.0037384033203,210.42359791738295,1200.7802963256836,860,128,0.1,0.2,4
25,2026-07-31 11:15:22,0.144296,1200.7802963256836,148.88742435723543,-231.2086820602417,214.29156025086738,1200.7802963256836,860,128,0.1,0.2,4
