generation,timestamp,duration_seconds,fitness_best,fitness_avg,fitness_worst,fitness_std,best_distance_ever,current_max_time,population_size,mutation_rate,mutation_strength,elite_size
0,2026-05-25 12:50:16,11.784391,954.1648750305176,423.2371657192707,-42.91229820251465,257.07541001197745,954.1648750305176,977,80,0.15,0.35,3
1,2026-05-25 12:50:26,9.72951,1038.3767051696777,497.6474168896675,-2.5551910400390625,268.0768912637366,1038.3767051696777,1019,80,0.15,0.35,3
2,2026-05-25 12:50:36,9.766642,1142.0613098144531,493.46289879083633,0.7374591827392578,273.8509642797648,1142.0613098144531,1071,80,0.15,0.35,3
3,2026-05-25 12:50:46,10.375347,1173.907039642334,483.1185413807631,-33.5166072845459,296.56097040331923,1173.907039642334,1086,80,0.15,0.35,3
4,2026-05-25 12:50:58,11.813924,1476.0099182128906,593.3105065643788,36.37276649475098,351.2546159557126,1476.0099182128906,1238,80,0.15,0.35,3
5,2026-05-25 12:51:10,11.910787,1586.9041862487793,640.2067346692086,-34.4213752746582,387.7326450625071,1586.9041862487793,1293,80,0.15,0.35,3
6,2026-05-25 12:51:21,10.96412,1557.5960960388184,554.071952906251,-124.9185688495636,356.7326292194289,1586.9041862487793,1293,80,0.15,0.35,3
7,2026-05-25 12:51:33,11.973647,1557.5960960388184,635.0039420545102,-22.133737564086914,398.94318416108797,1586.9041862487793,1293,80,0.15,0.35,3
8,2026-05-25 12:51:44,11.251589,1557.5960960388184,546.8501323252916,-3.797761917114258,390.00613329762524,1586.9041862487793,1293,80,0.15,0.35,3
9,2026-05-25 12:51:55,11.280551,1749.1622772216797,599.2141459941864,1.6474723815917969,399.1245844205444,1749.1622772216797,1374,80,0.15,0.35,3
10,2026-05-25 12:52:08,12.962634,1905.0376052856445,788.4144715368748,-39.43438911437988,445.7990080852295,1905.0376052856445,1452,80,0.15,0.35,3
11,2026-05-25 12:52:22,14.086913,1975.050521850586,791.0659201487899,-169.19414806365967,451.6970398966353,1975.050521850586,1487,80,0.15,0.35,3
12,2026-05-25 12:52:35,12.475541,2033.9470443725586,723.4400709986687,56.086910247802734,469.7556627738738,2033.9470443725586,1516,80,0.15,0.35,3
13,2026-05-25 12:52:48,13.463239,2101.0166244506836,848.6097931146621,-80.66283988952637,521.9892380777899,2101.0166244506836,1550,80,0.15,0.35,3
14,2026-05-25 12:53:01,12.486884,2135.8985900878906,738.2672605395317,-65.0921859741211,504.85582770123517,2135.8985900878906,1567,80,0.15,0.35,3
15,2026-05-25 12:53:14,13.070348,2200.172706604004,769.2911242961884,-8.07686996459961,478.54383731958114,2200.172706604004,1600,80,0.15,0.35,3
16,2026-05-25 12:53:27,13.6362,2320.5372009277344,781.7450223222374,11.284505844116211,535.868015928686,2320.5372009277344,1660,80,0.15,0.35,3
17,2026-05-25 12:53:42,14.326538,2320.5372009277344,829.8490784704685,-2.344806671142578,515.7122078950352,2320.5372009277344,1660,80,0.15,0.35,3
18,2026-05-25 12:53:55,13.684325,2320.5372009277344,828.6736694574356,-78.24470138549805,504.9875796797696,2320.5372009277344,1660,80,0.15,0.35,3
19,2026-05-25 12:54:09,13.818077,2320.5372009277344,739.5391981244087,-77.76252365112305,469.3992419020973,2320.5372009277344,1660,80,0.15,0.35,3
20,2026-05-25 12:54:23,13.867671,2320.5372009277344,839.2089948177338,-13.543891906738281,513.0807884715787,2320.5372009277344,1660,80,0.15,0.35,3
21,2026-05-25 12:54:38,14.558457,2320.5372009277344,906.5858259245754,66.66075325012207,519.9816460190357,2320.5372009277344,1660,80,0.15,0.35,3
22,2026-05-25 12:54:52,14.070513,2320.5372009277344,823.6157113134861,-62.980363845825195,529.0536968903762,2320.5372009277344,1660,80,0.15,0.35,3
23,2026-05-25 12:55:07,15.040585,2320.5372009277344,875.1715874180197,7.341402053833008,556.8237732509141,2320.5372009277344,1660,80,0.15,0.35,3
24,2026-05-25 12:55:21,14.19242,2320.5372009277344,864.7725037455559,36.283653259277344,512.5768798962658,2320.5372009277344,1660,80,0.15,0.35,3
