generation,timestamp,duration_seconds,fitness_best,fitness_avg,fitness_worst,fitness_std,best_distance_ever,current_max_time,population_size,mutation_rate,mutation_strength,elite_size
0,2026-08-05 09:13:07,0.860093,195.81289489746095,-70.85261814530057,-287.744665145874,78.75678909119671,195.81289489746095,500,128,0.1,0.2,4
1,2026-08-05 09:13:08,0.488217,195.81289489746095,-48.71713596617604,-302.6529550552368,82.57525598593132,195.81289489746095,558,128,0.1,0.2,4
2,2026-08-05 09:13:08,0.55989,317.27852334937893,-41.68393696444465,-292.6041603088379,94.1856002144396,317.27852334937893,558,128,0.1,0.2,4
3,2026-08-05 09:13:09,0.568544,317.27852334937893,-16.28777764311638,-206.2966823577881,90.16009975154319,317.27852334937893,595,128,0.1,0.2,4
4,2026-08-05 09:13:09,0.605889,317.27852334937893,-10.483321829220813,-262.46888637542725,100.05261622645489,317.27852334937893,595,128,0.1,0.2,4
5,2026-08-05 09:13:10,0.641194,317.27852334937893,-17.364179731506383,-326.4211177825928,111.437201347908,317.27852334937893,595,128,0.1,0.2,4
6,2026-08-05 09:13:10,0.572436,456.34906432207896,-20.021201340897868,-243.7619686126709,105.06571303228905,456.34906432207896,595,128,0.1,0.2,4
7,2026-08-05 09:13:11,0.621572,356.54887440999346,-12.620660656258602,-285.17346382141113,106.54199056337211,456.34906432207896,636,128,0.1,0.2,4
8,2026-08-05 09:13:12,0.64143,401.9690825722434,-2.2738552076030825,-274.62759017944336,113.99788905496567,456.34906432207896,636,128,0.1,0.2,4
9,2026-08-05 09:13:12,0.602052,401.9690825722434,-4.768194897954455,-274.930739402771,113.80177773038075,456.34906432207896,636,128,0.1,0.2,4
10,2026-08-05 09:13:13,0.668985,401.9690825722434,-7.203271360167777,-243.50416660308838,118.11694289732516,456.34906432207896,636,128,0.1,0.2,4
11,2026-08-05 09:13:14,0.700193,401.9690825722434,2.411731885598332,-285.39929389953613,124.34466325316261,456.34906432207896,636,128,0.1,0.2,4
12,2026-08-05 09:13:14,0.68556,401.9690825722434,1.2054343591300216,-301.94971561431885,128.55265228497635,456.34906432207896,636,128,0.1,0.2,4
13,2026-08-05 09:13:15,0.709882,425.2107968120455,-1.302966479329491,-303.55496406555176,129.73643023626042,456.34906432207896,636,128,0.1,0.2,4
14,2026-08-05 09:13:16,0.716831,581.4526431965378,11.001322935103728,-353.3282279968262,142.13626349902123,581.4526431965378,636,128,0.1,0.2,4
15,2026-08-05 09:13:17,0.805668,556.9511857867594,13.496932134961511,-224.62520599365234,135.8319283243297,581.4526431965378,674,128,0.1,0.2,4
16,2026-08-05 09:13:17,0.710679,556.9511857867594,0.4334871522818302,-237.06979751586914,131.5414807714465,581.4526431965378,674,128,0.1,0.2,4
17,2026-08-05 09:13:18,0.790831,932.8793111965282,26.915529035784473,-406.08372688293457,160.99427897004563,932.8793111965282,674,128,0.1,0.2,4
18,2026-08-05 09:13:19,0.813577,904.9181939150769,31.074076761830575,-218.04795265197754,147.47557321815975,932.8793111965282,779,128,0.1,0.2,4
19,2026-08-05 09:13:20,0.719344,904.9181939150769,22.048838699316367,-283.4784746170044,149.40464499743047,932.8793111965282,779,128,0.1,0.2,4
20,2026-08-05 09:13:20,0.797149,904.9181939150769,30.446242777444883,-231.25171661376953,144.57759122096448,932.8793111965282,779,128,0.1,0.2,4
21,2026-08-05 09:13:21,0.755581,904.9181939150769,10.054926679204781,-217.01006889343262,155.67721062257596,932.8793111965282,779,128,0.1,0.2,4
22,2026-08-05 09:13:22,0.771717,904.9181939150769,1.9144209345486058,-236.2518310546875,152.66690338175997,932.8793111965282,779,128,0.1,0.2,4
23,2026-08-05 09:13:23,0.823149,904.9181939150769,28.488169222461963,-215.91591835021973,149.53810807939905,932.8793111965282,779,128,0.1,0.2,4
24,2026-08-05 09:13:24,0.883326,904.9181939150769,26.457412618325034,-276.31330490112305,168.2064928130845,932.8793111965282,779,128,0.1,0.2,4
25,2026-08-05 09:13:24,0.763373,904.9181939150769,12.615711944375876,-215.34104347229004,151.51144209889995,932.8793111965282,779,128,0.1,0.2,4
26,2026-08-05 09:13:25,0.734472,904.9181939150769,7.2778968694979485,-203.97424697875977,142.61653137034884,932.8793111965282,779,128,0.1,0.2,4
27,2026-08-05 09:13:26,0.796048,904.9181939150769,21.681022707072835,-255.52749633789062,175.94644602378082,932.8793111965282,779,128,0.1,0.2,4
28,2026-08-05 09:13:27,0.858489,904.9181939150769,43.30076725978764,-269.2692756652832,205.50963282140293,932.8793111965282,779,128,0.1,0.2,4
29,2026-08-05 09:13:28,0.986789,904.9181939150769,98.08302447523208,-181.33206367492676,246.80914367955125,932.8793111965282,779,128,0.1,0.2,4
30,2026-08-05 09:13:29,1.131538,904.9181939150769,136.42227289453848,-182.6376438140869,271.2670908884308,932.8793111965282,779,128,0.1,0.2,4
31,2026-08-05 09:13:30,1.196162,904.9181939150769,163.09082815654045,-323.52280616760254,277.7535063173493,932.8793111965282,779,128,0.1,0.2,4
32,2026-08-05 09:13:31,1.10992,1135.8378159862123,155.73953795249008,-147.50351905822754,284.15136228497136,1135.8378159862123,779,128,0.1,0.2,4
33,2026-08-05 09:13:33,1.240733,1274.0891876220703,196.18408043674373,-103.0487060546875,305.9190255311646,1274.0891876220703,840,128,0.1,0.2,4
34,2026-08-05 09:13:34,1.368133,1299.7019273407604,222.13821238491414,-158.88237953186035,317.30220716117174,1299.7019273407604,882,128,0.1,0.2,4
35,2026-08-05 09:13:35,1.349386,1291.5237413455718,205.824380196112,-96.9505786895752,319.88239557508984,1299.7019273407604,889,128,0.1,0.2,4
36,2026-08-05 09:13:37,1.428577,1291.5237413455718,227.95578208521556,-188.75093460083008,326.38056888339383,1299.7019273407604,889,128,0.1,0.2,4
