generation,timestamp,duration_seconds,fitness_best,fitness_avg,fitness_worst,fitness_std,best_distance_ever,current_max_time,population_size,mutation_rate,mutation_strength,elite_size
1,2026-05-03 20:22:22,5.546793,690.4523849487305,376.6995689868927,-78.54340934753418,162.04549353458944,690.4523849487305,707,40,0.1,0.2,4
2,2026-05-03 20:22:26,3.803644,824.4117660522461,374.86057059764863,0.5914554595947266,198.33982002498612,824.4117660522461,747,40,0.1,0.2,4
3,2026-05-03 20:22:30,4.030024,859.6198425292969,428.05483853816986,27.04677391052246,241.37494729713578,859.6198425292969,757,40,0.1,0.2,4
4,2026-05-03 20:22:35,5.396146,871.6656837463379,456.43140518665314,35.197203636169434,216.3208606128287,871.6656837463379,761,40,0.1,0.2,4
5,2026-05-03 20:22:40,4.967055,910.0899276733398,513.1154900789261,45.14536666870117,221.08155192071632,910.0899276733398,773,40,0.1,0.2,4
6,2026-05-03 20:22:45,4.725372,933.4467163085938,547.5240583896637,11.33079719543457,237.6280378780533,933.4467163085938,780,40,0.1,0.2,4
7,2026-05-03 20:22:49,4.32703,941.3419151306152,567.599329662323,52.93109703063965,250.98184819870588,941.3419151306152,782,40,0.1,0.2,4
8,2026-05-03 20:22:53,4.160494,998.4105834960938,531.723976802826,62.342668533325195,243.49108251383925,998.4105834960938,799,40,0.1,0.2,4
9,2026-05-03 20:22:58,4.157436,998.4105834960938,486.76028633117676,-62.98752212524414,281.87193410727434,998.4105834960938,799,40,0.1,0.2,4
10,2026-05-03 20:23:02,4.414296,1003.750431060791,554.0792792081833,68.20057582855225,227.3629322333399,1003.750431060791,801,40,0.1,0.2,4
11,2026-05-03 20:23:06,4.263992,1125.1305351257324,497.01239545345305,3.8124732971191406,281.4963231413217,1125.1305351257324,837,40,0.1,0.2,4
12,2026-05-03 20:23:11,4.330473,1123.9076194763184,551.4800486803055,-18.303451538085938,315.46823382077423,1125.1305351257324,837,40,0.1,0.2,4
13,2026-05-03 20:23:15,4.659237,1123.9076194763184,673.6350670337677,179.73613739013672,239.93526448622856,1125.1305351257324,837,40,0.1,0.2,4
14,2026-05-03 20:23:20,5.009849,1123.9076194763184,590.2400490999222,7.54405403137207,285.0295739043066,1125.1305351257324,837,40,0.1,0.2,4
15,2026-05-03 20:23:25,4.442339,1123.9076194763184,673.9245452880859,122.99429321289062,294.88652646704355,1125.1305351257324,837,40,0.1,0.2,4
16,2026-05-03 20:23:29,4.491359,1123.9076194763184,582.8022575378418,47.92873764038086,282.9524570456537,1125.1305351257324,837,40,0.1,0.2,4
17,2026-05-03 20:23:33,4.003828,1240.7064018249512,577.4620151042939,8.112678527832031,312.7868178912525,1240.7064018249512,872,40,0.1,0.2,4
18,2026-05-03 20:23:38,4.30391,1279.0794715881348,618.1528878211975,16.32555389404297,315.9291003497617,1279.0794715881348,883,40,0.1,0.2,4
19,2026-05-03 20:23:43,5.19475,1286.8006744384766,670.8870512008667,47.28919792175293,331.2092412075119,1286.8006744384766,886,40,0.1,0.2,4
20,2026-05-03 20:23:47,4.312572,1291.8755226135254,640.1089924097062,-0.11048316955566406,331.8884096895126,1291.8755226135254,887,40,0.1,0.2,4
21,2026-05-03 20:23:52,4.740317,1294.3865356445312,697.3745844602585,17.520676612854004,295.1549482649602,1294.3865356445312,888,40,0.1,0.2,4
22,2026-05-03 20:23:57,4.819982,1296.0417213439941,656.5073559045792,193.98443984985352,314.0231642380366,1296.0417213439941,888,40,0.1,0.2,4
23,2026-05-03 20:24:01,4.7325,1296.0417213439941,707.8943630695343,42.68766403198242,307.81744303508225,1296.0417213439941,888,40,0.1,0.2,4
24,2026-05-03 20:24:07,5.237856,1296.0417213439941,657.7749669075013,-15.750326156616211,306.0059632922046,1296.0417213439941,888,40,0.1,0.2,4
25,2026-05-03 20:24:11,4.535615,1296.0417213439941,656.3705086231232,80.78818702697754,352.31080922155326,1296.0417213439941,888,40,0.1,0.2,4
26,2026-05-03 20:24:15,4.275804,1353.531021118164,622.4373350143433,91.79779815673828,352.50129736919615,1353.531021118164,906,40,0.1,0.2,4
27,2026-05-03 20:24:20,4.630481,1361.795166015625,697.8420515775681,103.34425926208496,338.41599316031017,1361.795166015625,908,40,0.1,0.2,4
28,2026-05-03 20:24:25,4.560716,1362.412265777588,691.3000846385955,-67.41044616699219,338.07921515821073,1362.412265777588,908,40,0.1,0.2,4
29,2026-05-03 20:24:30,5.34546,1362.412265777588,757.5309764862061,230.55879974365234,274.1900411001493,1362.412265777588,908,40,0.1,0.2,4
30,2026-05-03 20:24:35,5.14217,1362.412265777588,755.5640454292297,241.4704360961914,311.44615189916686,1362.412265777588,908,40,0.1,0.2,4
31,2026-05-03 20:24:39,4.187721,1362.412265777588,651.4180779457092,26.786659240722656,387.44422618577823,1362.412265777588,908,40,0.1,0.2,4
32,2026-05-03 20:24:44,4.58868,1362.412265777588,682.411548423767,132.71610641479492,308.10917372622066,1362.412265777588,908,40,0.1,0.2,4
33,2026-05-03 20:24:48,4.576372,1362.412265777588,741.9567259311676,144.9247817993164,300.7141594611382,1362.412265777588,908,40,0.1,0.2,4
34,2026-05-03 20:24:54,5.122518,1362.412265777588,728.7319695472718,57.551923751831055,338.8554019893378,1362.412265777588,908,40,0.1,0.2,4
35,2026-05-03 20:24:58,4.693094,1362.412265777588,698.5229069948197,-48.94712734222412,345.81947317399676,1362.412265777588,908,40,0.1,0.2,4
36,2026-05-03 20:25:03,4.714212,1362.412265777588,696.6365571260452,-1.5732145309448242,365.962259396658,1362.412265777588,908,40,0.1,0.2,4
