generation,timestamp,duration_seconds,fitness_best,fitness_avg,fitness_worst,fitness_std,best_distance_ever,current_max_time,population_size,mutation_rate,mutation_strength,elite_size
0,2026-07-31 12:39:20,1.03613,200.6800917136619,-29.230080492662818,-136.35663788222806,56.36155699773823,200.6800917136619,500,128,0.1,0.2,4
1,2026-07-31 12:39:20,0.164544,227.56132116868358,-0.23121191400360092,-118.54429864922218,72.0285668662299,227.56132116868358,560,128,0.1,0.2,4
2,2026-07-31 12:39:21,0.169083,228.38507571769924,9.268690725914961,-113.9347651429674,81.26844368460917,228.38507571769924,568,128,0.1,0.2,4
3,2026-07-31 12:39:21,0.171482,248.71248766454613,24.676593944362622,-123.77130221616642,91.36283042286387,248.71248766454613,568,128,0.1,0.2,4
4,2026-07-31 12:39:21,0.198573,375.8795960822397,16.6432703990822,-123.41007259842654,101.08690887102644,375.8795960822397,574,128,0.1,0.2,4
5,2026-07-31 12:39:21,0.228707,388.51318680887744,26.885818485853473,-136.80976610531215,99.72795751923994,388.51318680887744,612,128,0.1,0.2,4
6,2026-07-31 12:39:21,0.193765,392.23046644552215,44.56020706048864,-117.66801291991405,113.30086839910268,392.23046644552215,616,128,0.1,0.2,4
7,2026-07-31 12:39:22,0.18056,393.8110357120715,20.69274861853848,-135.19081117729547,108.5268561102631,393.8110357120715,617,128,0.1,0.2,4
8,2026-07-31 12:39:22,0.184334,395.4413536112019,17.932130883156542,-135.5167374007182,106.3437037377573,395.4413536112019,618,128,0.1,0.2,4
9,2026-07-31 12:39:22,0.206892,397.232306322947,35.206691559502474,-138.49381661667948,113.94269207528636,397.232306322947,618,128,0.1,0.2,4
10,2026-07-31 12:39:22,0.205259,410.3399377486129,38.173953034314195,-178.09658392365546,120.62446179016307,410.3399377486129,619,128,0.1,0.2,4
11,2026-07-31 12:39:22,0.212002,498.44169643289814,39.782740842463554,-148.0022544631783,136.2526144812502,498.44169643289814,623,128,0.1,0.2,4
